timestamp,water_depth,event_key,state
283.052,1.714,NONE,CLEAR
284.052,2.726,NONE,CLEAR
285.053,2.708,NONE,CLEAR
286.053,2.365,NONE,CLEAR
287.054,2.365,NONE,CLEAR
288.054,3.394,NONE,CLEAR
289.055,3.394,NONE,CLEAR
290.055,3.394,NONE,CLEAR
291.056,3.051,NONE,CLEAR
292.056,2.708,NONE,CLEAR
293.057,2.708,NONE,CLEAR
294.057,2.708,NONE,CLEAR
295.058,3.720,NONE,CLEAR
296.058,3.394,NONE,CLEAR
297.059,3.394,NONE,CLEAR
298.059,3.394,BLOCKAGE_INSERTED,BLOCKAGE
299.060,3.051,NONE,BLOCKAGE
300.060,4.063,NONE,BLOCKAGE
301.061,3.737,NONE,BLOCKAGE
302.061,3.737,NONE,BLOCKAGE
303.062,3.394,NONE,BLOCKAGE
304.062,4.749,NONE,BLOCKAGE
305.063,4.406,NONE,BLOCKAGE
306.063,4.063,NONE,BLOCKAGE
307.064,4.080,NONE,BLOCKAGE
308.064,3.737,NONE,BLOCKAGE
309.065,3.737,NONE,BLOCKAGE
310.065,4.749,NONE,BLOCKAGE
311.066,4.732,NONE,BLOCKAGE
312.066,4.406,NONE,BLOCKAGE
313.067,4.063,NONE,BLOCKAGE
314.067,4.063,NONE,BLOCKAGE
315.068,4.080,NONE,BLOCKAGE
316.068,5.092,NONE,BLOCKAGE
317.069,5.092,NONE,BLOCKAGE
318.069,4.732,NONE,BLOCKAGE
319.070,4.749,NONE,BLOCKAGE
320.070,4.389,NONE,BLOCKAGE
321.071,5.418,NONE,BLOCKAGE
322.071,5.418,NONE,BLOCKAGE
323.072,5.109,NONE,BLOCKAGE
324.072,5.092,NONE,BLOCKAGE
325.073,6.070,NONE,BLOCKAGE
326.073,4.732,NONE,BLOCKAGE
327.074,5.744,NONE,BLOCKAGE
328.074,4.406,NONE,BLOCKAGE
329.075,5.418,NONE,BLOCKAGE
330.075,5.418,NONE,BLOCKAGE
331.076,6.396,NONE,BLOCKAGE
332.076,5.109,NONE,BLOCKAGE
333.077,6.070,NONE,BLOCKAGE
334.077,4.732,NONE,BLOCKAGE
335.078,5.744,NONE,BLOCKAGE
336.078,5.744,NONE,BLOCKAGE
337.079,5.418,NONE,BLOCKAGE
338.079,6.378,NONE,BLOCKAGE
339.080,6.378,NONE,BLOCKAGE
340.080,6.053,NONE,BLOCKAGE
341.081,6.070,NONE,BLOCKAGE
342.081,6.070,NONE,BLOCKAGE
343.082,5.744,NONE,BLOCKAGE
344.082,6.704,NONE,BLOCKAGE
345.083,6.704,NONE,BLOCKAGE
346.083,6.704,NONE,BLOCKAGE
347.084,6.396,BLOCKAGE_REMOVED,CLEAR
348.084,5.418,NONE,CLEAR
349.085,5.744,NONE,CLEAR
350.085,5.744,NONE,CLEAR
351.086,4.749,NONE,CLEAR
352.086,4.732,NONE,CLEAR
353.087,5.744,NONE,CLEAR
354.087,5.744,NONE,CLEAR
355.088,5.418,NONE,CLEAR
356.088,6.396,NONE,CLEAR
357.089,6.378,NONE,CLEAR
358.089,6.396,NONE,CLEAR
359.090,6.396,NONE,CLEAR
360.090,6.053,NONE,CLEAR
361.091,6.070,NONE,CLEAR
362.091,6.070,NONE,CLEAR
363.092,5.744,NONE,CLEAR
364.092,6.704,NONE,CLEAR
365.093,6.704,NONE,CLEAR
366.093,6.704,NONE,CLEAR
367.094,6.704,NONE,CLEAR
368.094,6.396,NONE,CLEAR
369.095,6.378,NONE,CLEAR
370.095,7.356,NONE,CLEAR
371.096,7.356,NONE,CLEAR
372.096,6.053,NONE,CLEAR
373.097,7.030,NONE,CLEAR
374.097,7.030,NONE,CLEAR
375.098,5.744,NONE,CLEAR
376.098,6.704,NONE,CLEAR
377.099,6.704,NONE,CLEAR
378.099,7.682,NONE,CLEAR
379.100,7.665,NONE,CLEAR
380.100,6.378,NONE,CLEAR
381.101,6.396,NONE,CLEAR
382.101,7.356,NONE,CLEAR
383.102,7.356,NONE,CLEAR
384.102,7.356,NONE,CLEAR
385.103,7.030,NONE,CLEAR
386.103,7.030,NONE,CLEAR
